,sessions,energy_kwh,users,mean_energy,mean_connected_h,mean_idle_h,temp_c,precip_mm,holiday,dow,stations
2016-02-20,111,941.161119,95,8.478928999999999,2.4933433433433434,0.6384984984984985,12.768468468468468,0.0,False,5,22
2016-02-21,101,775.080236,88,7.674061742574257,2.2657013201320133,0.549491199119912,12.930693069306932,0.0,False,6,22
2016-02-22,120,1144.376879,109,9.536473991666666,3.0489421296296295,0.7906134259259259,14.4275,0.0,False,0,22
2016-02-23,129,1310.287038,113,10.157263860465116,3.0460809646856157,0.6944358311800173,15.049612403100776,0.0,False,1,22
2016-02-24,128,1072.3696439999999,114,8.377887843749999,2.789431423611111,0.7101866319444444,16.3484375,0.0,False,2,22
2016-02-25,139,1186.319253,121,8.534670884892085,2.753421262989608,0.6129936051159073,17.168345323741008,0.0,False,3,22
2016-02-26,133,1086.560423,120,8.169627240601503,2.6886779448621554,0.6377610693400168,15.426315789473684,0.0,False,4,22
2016-02-27,119,901.49869,104,7.575619243697479,2.5409103641456583,0.8143160597572362,15.030252100840338,0.0,False,5,22
2016-02-28,107,934.729566,93,8.735790336448598,2.8334553478712357,0.9462616822429907,14.41682242990654,0.0,False,6,22
2016-02-29,134,1188.182686,116,8.867034970149254,3.097898009950249,1.0020936981757878,17.191791044776117,0.0,False,0,22
2016-03-01,135,1047.799505,112,7.761477814814815,2.52879012345679,0.6209465020576133,16.808888888888887,0.0,False,1,22
2016-03-02,119,882.272291,110,7.414052865546219,2.6232399626517275,0.7539612511671334,16.018487394957983,0.0,False,2,22
2016-03-03,147,1184.094187,124,8.055062496598639,2.6184845049130763,0.5982596371882086,15.050340136054423,0.004081632653061225,False,3,22
2016-03-04,131,1117.459598,116,8.530225938931297,3.008091603053435,0.9136111111111112,15.504580152671757,0.367175572519084,False,4,22
2016-03-05,93,796.001432,78,8.559155182795699,2.965008960573477,1.1182078853046595,15.259139784946239,0.9473118279569892,False,5,22
2016-03-06,102,967.198464,93,9.48233788235294,2.836179193899782,0.6835784313725491,12.633333333333333,0.2901960784313726,False,6,22
2016-03-07,134,1167.298529,115,8.711183052238805,2.8792558043117746,0.682893864013267,10.882835820895522,0.21865671641791046,False,0,22
2016-03-08,134,1131.499528,119,8.444026328358209,2.64007048092869,0.5542993366500829,10.917164179104478,0.05895522388059702,False,1,22
2016-03-09,140,1245.456075,127,8.896114821428572,2.68156746031746,0.5300198412698413,14.632857142857143,0.0,False,2,22
2016-03-10,129,1139.721046,115,8.835046868217054,3.0970111972437553,0.8869896640826873,14.613953488372093,0.7612403100775194,False,3,22
2016-03-11,140,1293.521468,121,9.239439057142857,2.863200396825397,0.6818313492063492,11.570714285714287,1.4992857142857143,False,4,22
2016-03-12,103,873.337959,93,8.479009310679611,2.9712918015102483,1.0425566343042072,12.518446601941749,0.21844660194174756,False,5,22
2016-03-13,93,892.912136,80,9.601205763440861,2.8423596176821984,0.6944653524492234,13.320430107526882,0.6430107526881721,False,6,22
2016-03-14,127,1171.950525,113,9.22795688976378,2.89244750656168,0.6937489063867017,12.762992125984253,0.007086614173228346,False,0,22
2016-03-15,123,1130.460457,111,9.190735422764227,2.9364747064137307,0.6991079494128275,12.903252032520324,0.0,False,1,22
2016-03-16,134,1167.62183,115,8.713595746268657,3.0213805970149252,0.866419983416252,16.001492537313432,0.0,False,2,22
2016-03-17,136,1090.486644,121,8.018284147058823,2.584938725490196,0.6141196895424836,17.946323529411764,0.0,False,3,22
2016-03-18,123,1179.9399329999999,112,9.593007585365852,3.3357046070460705,1.0082926829268293,14.134959349593496,0.0,False,4,22
2016-03-19,97,989.589744,84,10.20195612371134,2.9668785796105386,0.8400028636884307,15.075257731958763,0.0,False,5,22
2016-03-20,104,922.872755,94,8.873776490384616,2.6504487179487177,0.5860630341880342,15.598076923076924,0.22884615384615387,False,6,22
2016-03-21,127,1188.29725,113,9.35667125984252,3.012121609798775,0.7035804899387577,12.812598425196851,0.42755905511811026,False,0,22
2016-03-22,126,1103.829596,114,8.76055234920635,3.037806437389771,0.8848126102292768,11.884126984126985,0.0047619047619047615,False,1,22
2016-03-23,138,1194.865045,130,8.658442355072463,3.039140499194847,0.8151630434782609,13.815942028985507,0.0,False,2,22
2016-03-24,132,1182.448372,117,8.957942212121212,2.9424537037037037,0.7872706228956229,14.794696969696968,0.0,False,3,22
2016-03-25,136,1246.460681,121,9.165152066176471,2.86844158496732,0.7661519607843138,14.26029411764706,0.0,False,4,22
2016-03-26,102,888.67596,92,8.712509411764707,2.8959041394335507,0.9282244008714596,15.409803921568628,0.0,False,5,22
2016-03-27,88,736.884993,78,8.373693102272727,2.44417297979798,0.594905303030303,13.288636363636364,0.0,False,6,22
2016-03-28,126,1086.895193,113,8.626152325396825,2.9890079365079365,0.8537544091710758,11.015079365079366,0.0,False,0,22
2016-03-29,130,1095.662793,120,8.42817533076923,2.9351025641025643,0.7553739316239316,12.843076923076922,0.0,False,1,22
2016-03-30,143,1253.068499,126,8.762716776223776,2.6591336441336444,0.5407614607614607,13.678321678321678,0.0,False,2,22
2016-03-31,132,1179.649502,119,8.936738651515151,3.0242171717171717,0.8722664141414141,13.31060606060606,0.0,False,3,22
2016-04-01,122,1117.529928,105,9.16008137704918,2.789742714025501,0.5813000910746813,13.340983606557376,0.0,False,4,22
2016-04-02,94,851.697395,83,9.060610585106383,2.956622340425532,0.9101004728132388,16.54468085106383,0.0,False,5,22
2016-04-03,85,784.958751,80,9.234808835294118,2.7091470588235294,0.7226176470588235,15.208235294117648,0.0,False,6,22
2016-04-04,124,1038.454237,110,8.374630943548386,2.8437567204301075,0.7195340501792116,15.32983870967742,0.0,False,0,22
2016-04-05,129,1103.916644,118,8.557493364341084,2.8306158484065462,0.7002562446167098,20.130232558139536,0.0,False,1,22
2016-04-06,137,1189.435942,117,8.682014175182482,2.817510137875101,0.7692031630170316,23.65255474452555,0.0,False,2,22
2016-04-07,121,1154.325674,109,9.539881603305785,2.846400367309458,0.6704338842975207,17.47355371900826,0.0,False,3,22
2016-04-08,127,982.174598,112,7.733658251968503,2.5056517935258094,0.587007874015748,16.39527559055118,0.11102362204724409,False,4,22
2016-04-09,117,1050.26806,96,8.976650085470087,2.864499050332384,0.8684449192782526,15.067521367521369,0.3299145299145299,False,5,22
2016-04-10,101,829.12558,90,8.209164158415842,2.6456215621562156,0.8828630363036304,13.135643564356435,0.16237623762376235,False,6,22
2016-04-11,121,1220.179702,105,10.08412976859504,3.039602846648301,0.7513475665748394,14.522314049586777,0.0,False,0,22
2016-04-12,139,1248.393796,124,8.981250330935252,2.8785651478816945,0.6806274980015987,12.988489208633094,0.0,False,1,22
2016-04-13,139,1201.147498,122,8.641348906474821,2.708263389288569,0.6510711430855316,13.689208633093525,0.0,False,2,22
2016-04-14,132,1068.220769,116,8.092581583333333,2.6730618686868683,0.629726430976431,13.327272727272728,0.003787878787878788,False,3,22
2016-04-15,135,1173.495183,124,8.692556911111112,2.6561604938271604,0.5173930041152264,14.665185185185186,0.0,False,4,22
2016-04-16,107,860.207887,92,8.039326046728972,2.49452492211838,0.6185046728971962,20.86355140186916,0.0,False,5,22
2016-04-17,112,1001.784181,100,8.94450161607143,2.8651661706349207,0.8920734126984128,23.04732142857143,0.0,False,6,22
2016-04-18,138,1193.632245,119,8.64950902173913,2.6667049114331722,0.5296336553945249,22.990579710144925,0.0,False,0,22
2016-04-19,130,1122.141914,118,8.631860876923078,2.877104700854701,0.7723119658119658,21.840769230769233,0.0,False,1,22
2016-04-20,128,1268.963947,121,9.9137808359375,3.069157986111111,0.6911848958333333,18.86640625,0.0,False,2,22
2016-04-21,137,1210.657301,126,8.836914605839416,2.7326865369018654,0.5771492295214923,17.42189781021898,0.013138686131386862,False,3,22
2016-04-22,148,1240.912759,129,8.38454566891892,2.759039039039039,0.6734553303303303,14.193918918918918,0.793918918918919,False,4,22
2016-04-23,111,977.277977,96,8.8043060990991,3.0704304304304304,1.19268018018018,15.045945945945945,0.0,False,5,22
2016-04-24,89,767.328435,78,8.621667808988764,2.593873283395755,0.7571660424469413,14.657303370786517,0.0,False,6,22
2016-04-25,128,1201.375274,118,9.385744328125,3.0963541666666665,0.8452039930555556,13.022656249999999,0.0,False,0,22
2016-04-26,147,1184.267699,120,8.056242850340135,2.5925340136054422,0.5787962962962964,14.033333333333333,0.0,False,1,22
2016-04-27,148,1217.467733,130,8.226133331081082,2.5367286036036036,0.5791084834834835,12.725675675675676,0.2952702702702703,False,2,22
2016-04-28,129,1146.486496,112,8.887492217054264,2.757172695951766,0.6574181739879414,15.057364341085272,0.0,False,3,22
2016-04-29,159,1189.124395,143,7.478769779874214,2.484344863731656,0.5956830887491265,14.191194968553459,0.0,False,4,22
2016-04-30,124,1042.963637,111,8.410997072580646,2.601507616487455,0.771709229390681,19.845161290322583,0.0,False,5,22
2016-05-01,112,995.443258,94,8.887886232142858,2.5209796626984127,0.5811458333333334,21.579464285714288,0.0,False,6,22
2016-05-02,135,1142.759065,123,8.464881962962963,2.665670781893004,0.5561975308641975,18.11111111111111,0.0,False,0,22
2016-05-03,136,1140.774702,119,8.388049279411764,2.5182659313725493,0.4826654411764706,17.74705882352941,0.0,False,1,22
2016-05-04,147,1221.86949,133,8.312037346938776,2.667314814814815,0.6234826152683295,16.32857142857143,0.0,False,2,22
2016-05-05,137,1181.033181,123,8.620680153284672,2.8366078669910784,0.7120904298459043,15.857664233576642,0.00948905109489051,False,3,22
